time,vehicle_id,x,y,speed,angle,lane,pos,anomaly
416,v_neg_speed,470.34456698550207,443.59061708351925,0.3294,225.67212015436414,315255814_0,7.644899999999998,1
417,v_neg_speed,470.1097276122351,443.36122373928794,0.3303,225.67212015436365,315255814_0,7.975199999999998,1
418,v_neg_speed,469.87424834966765,443.13120534507243,0.3312,225.67212015436414,315255814_0,8.306399999999998,1
419,v_neg_speed,469.6381291977998,442.9005619008726,0.3321,225.67212015436414,315255814_0,8.638499999999999,1
420,v_neg_speed,469.40137015663146,442.6692934066885,0.333,225.67212015436414,315255814_0,8.971499999999999,1
421,v_neg_speed,469.16397122616263,442.43739986252007,0.33390000000000003,225.6721201543641,315255814_0,9.305399999999999,1
422,v_neg_speed,468.92593240639343,442.20488126836744,0.3348,225.67212015436414,315255814_0,9.640199999999998,1
423,v_neg_speed,468.68725369732374,441.97173762423046,0.3357,225.67212015436365,315255814_0,9.975899999999998,1
424,v_neg_speed,468.44793509895356,441.7379689301092,0.3366,225.67212015436365,315255814_0,10.312499999999998,1
425,v_neg_speed,468.20797661128296,441.50357518600373,0.3375,225.67212015436414,315255814_0,10.649999999999999,1
426,v_neg_speed,467.96737823431187,441.26855639191393,0.33840000000000003,225.67212015436414,315255814_0,10.988399999999999,1
427,v_neg_speed,467.72613996804034,441.0329125478398,0.3393,225.67212015436365,315255814_0,11.327699999999998,1
428,v_neg_speed,467.4842618124684,440.7966436537815,0.3402,225.67212015436365,315255814_0,11.667899999999998,1
429,v_neg_speed,467.24174376759595,440.55974970973887,0.3411,225.67212015436414,315255814_0,12.008999999999999,1
430,v_neg_speed,466.9985858334231,440.3222307157119,0.342,225.67212015436365,315255814_0,12.350999999999999,1
431,v_neg_speed,466.7547880099497,440.08408667170073,0.34290000000000004,225.67212015436414,315255814_0,12.6939,1
432,v_neg_speed,466.51035029717593,439.84531757770526,0.3438,225.67212015436414,315255814_0,13.0377,1
433,v_neg_speed,466.2652726951017,439.6059234337255,0.3447,225.67212015436414,315255814_0,13.382399999999999,1
434,v_neg_speed,466.019555203727,439.36590423976145,0.3456,225.67212015436414,315255814_0,13.727999999999998,1
435,v_neg_speed,465.7731978230518,439.1252599958131,0.34650000000000003,225.67212015436414,315255814_0,14.074499999999999,1
436,v_neg_speed,465.5262005530762,438.88399070188046,0.34740000000000004,225.67212015436365,315255814_0,14.421899999999999,1
437,v_neg_speed,465.27856339380014,438.64209635796357,0.3483,225.67212015436365,315255814_0,14.770199999999999,1
438,v_neg_speed,465.0302863452236,438.3995769640624,0.3492,225.67212015436365,315255814_0,15.119399999999999,1
439,v_neg_speed,464.78136940734663,438.15643252017696,0.3501,225.67212015436365,315255814_0,15.469499999999998,1
440,v_neg_speed,464.53181258016923,437.9126630263072,0.35100000000000003,225.67212015436365,315255814_0,15.8205,1
441,v_neg_speed,464.2816158636913,437.6682684824532,0.35190000000000005,225.6721201543641,315255814_0,16.1724,1
442,v_neg_speed,464.03077925791297,437.4232488886149,0.3528,225.67212015436414,315255814_0,16.525199999999998,1
443,v_neg_speed,463.77930276283416,437.17760424479235,0.3537,225.67212015436414,315255814_0,16.878899999999998,1
444,v_neg_speed,463.5271863784549,436.93133455098547,0.3546,225.67212015436365,315255814_0,17.2335,1
445,v_neg_speed,463.2744301047752,436.68443980719434,0.35550000000000004,225.67212015436414,315255814_0,17.589,1
446,v_neg_speed,463.02103394179505,436.4369200134189,0.35640000000000005,225.67212015436365,315255814_0,17.9454,1
447,v_neg_speed,462.7669978895144,436.1887751696592,0.3573,225.67212015436414,315255814_0,18.302699999999998,1
448,v_neg_speed,462.51232194793334,435.9400052759152,0.3582,225.67212015436365,315255814_0,18.660899999999998,1
449,v_neg_speed,462.25700611705184,435.69061033218696,0.35910000000000003,225.67212015436414,315255814_0,19.02,1
450,v_neg_speed,462.00105039686986,435.4405903384744,0.36000000000000004,225.67212015436414,315255814_0,19.38,1
451,v_neg_speed,461.7444547873874,435.18994529477754,0.36090000000000005,225.67212015436365,315255814_0,19.7409,1
452,v_neg_speed,461.48464063538256,434.94143121871946,0.3618,225.7156262075713,315255814_0,20.1027,1
453,v_neg_speed,461.21617328066554,434.7008565761808,0.3627,225.89434366269904,315255814_0,20.4654,1
454,v_neg_speed,460.94703975385244,434.4596849742314,0.36360000000000003,226.07352431140103,315255814_0,20.829,1
455,v_neg_speed,460.6772400549433,434.21791641287126,0.36450000000000005,226.25316478531914,315255814_0,21.1935,1
456,v_neg_speed,460.406774183938,433.97555089210033,0.36540000000000006,226.43326166232862,315255814_0,21.5589,1
457,v_neg_speed,460.13564214083675,433.7325884119186,0.36629999999999996,226.61381146658147,315255814_0,21.9252,1
458,v_neg_speed,459.86384392563934,433.48902897232614,0.36719999999999997,226.79481066858062,315255814_0,22.2924,1
459,v_neg_speed,459.5913795383459,433.24487257332294,0.3681,226.97625568525197,315255814_0,22.6605,1
460,v_neg_speed,459.3182489789564,433.0001192149089,0.369,227.15814288004424,315255814_0,23.0295,1
461,v_neg_speed,459.04445224747076,432.75476889708415,0.3699,227.34046856304113,315255814_0,23.3994,1
462,v_neg_speed,458.7699893438891,432.5088216198487,0.37079999999999996,227.52322899108157,315255814_0,23.7702,1
463,v_neg_speed,458.4948602682113,432.26227738320233,0.3717,227.7064203679056,315255814_0,24.1419,1
464,v_neg_speed,458.21906502043754,432.0151361871453,0.3726,227.89003884431068,315255814_0,24.514499999999998,1
465,v_neg_speed,457.9426036005676,431.7673980316775,0.3735,228.07408051832326,315255814_0,24.887999999999998,1
466,v_neg_speed,457.6654760086017,431.5190629167989,0.3744,228.13635836833222,315255814_0,25.2624,1
467,v_neg_speed,457.38768224453963,431.27013084250956,0.37529999999999997,228.13635836833316,315255814_0,25.6377,1
