time,vehicle_id,x,y,speed,angle,lane,pos,anomaly,depart,edges,edge_id,lane_id,length,lane_speed,shape,acceleration,jerk,stopped,stopped_time,leader_distance,gap_time,following_time,lane_change_rate
769.0,37,179.65466865693855,371.7703285322404,11.46081954436856,272.5796025645736,S01_1,120.46473269761808,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.0123612284194685,0.1495524943573407,0,1.0,20.57226772413,1.795008432380255,,
731.0,39,505.0281667057585,478.5406574422447,4.887200568231151,217.8561064368581,315255906#1_0,15.682999287052455,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255906#1,315255906#1_0,29.29,13.89,"514.65,490.92 496.68,467.80",1.385665495879949,-0.300176785280928,0,1.0,10.580230754170945,2.164885726799688,,
736.0,39,472.8066974501834,441.51717292927583,11.19628617545987,225.6697394996596,315255814_1,7.287601803320451,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",-0.4685845989966761,-1.5338950755101737,0,1.0,40.66039745579931,3.6315968365402425,,
737.0,39,464.5769205587407,433.4775799575933,11.504288566009388,225.6697394996591,315255814_1,18.79189036932984,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.3080023905495181,0.7765869895461943,0,1.0,40.60675513969885,3.529705892433515,,
738.0,39,456.6313465719172,426.2926775722744,10.712717503764912,228.1487417997934,315255814_1,29.50460787309475,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",-0.7915710622444756,-1.0995734527939938,0,1.0,27.094380876039352,2.5291790683845825,,
739.0,39,447.70439976670696,418.5370411325434,11.82957712946391,230.20191322408635,315255814_1,41.334185002558655,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",1.1168596256989982,1.9084306879434736,0,1.0,40.16097554710341,3.394962905907645,,
741.0,39,429.53764723068673,404.27757247219694,11.229263697880564,231.06522587385663,315255814_1,64.42821653427491,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",-0.6355041359551272,-0.6706948403269077,0,1.0,63.442533749236944,5.649750104382288,,
742.0,39,421.2564258761476,397.587166683828,10.64550493740408,231.06522587385612,315255814_1,75.073721471679,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",-0.5837587604764831,0.0517453754786441,0,1.0,60.05148596448886,5.64101809332611,,
743.0,39,412.48275029967033,391.6108372756314,10.6162424570548,235.88823415503552,315255814_1,85.68996392873379,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",-0.0292624803492795,0.5544962801272035,0,1.0,56.75209684626899,5.3457800230019785,,
745.0,39,397.5649833412692,384.4997667905787,6.97080634998064,246.51185276961849,ET03_1,2.932453139450832,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_1,51.78,13.89,"400.17,385.78 389.06,380.32 380.89,376.74 370.67,373.04 365.61,371.67 360.49,370.66 353.46,369.46 351.98,369.27",-2.990876510755765,-2.336316914437369,0,1.0,10.234553545372602,1.468202246846382,,
